candidate_id,split,rows,mean_pinball,pinball_q10,pinball_q50,pinball_q90,coverage_80,coverage_80_error,core_crossing_rows,core_crossing_rate,q50_unique,median_q50_unique_per_origin,origins_q50_unique_ge_10_rate,rank_dates,mean_date_spearman,median_date_spearman,positive_date_spearman_rate,mean_top_bottom_20_spread,horizon_months
FULL_FIXED_ES_QUANTILE,DEVELOPMENT,10302,0.06854770942598502,0.04180164356363667,0.10676799645980527,0.05707348825451312,0.695204814599107,0.10479518540089305,0,0.0,4977,35.0,0.5898876404494382,157,-0.023156734282046926,-0.00514954906111637,0.4585987261146497,-0.009331147062045913,3
FULL_FIXED_ES_QUANTILE,COMMON_HOLDOUT,2444,0.05820644826776725,0.03740571598544165,0.0917742634948991,0.04543936532296097,0.8273322422258592,0.02733224222585917,0,0.0,440,8.0,0.36538461538461536,52,0.05718925701020713,0.04545627228411151,0.5961538461538461,0.03270732441200172,3
FULL_FIXED_ES_QUANTILE,LATE_BACKTEST,2177,0.05697447408148567,0.03162098790290917,0.09164852664954311,0.047653907692004734,0.7602204869085898,0.03977951309141026,0,0.0,739,21.0,1.0,40,0.06866641542696714,0.054967150449808946,0.675,0.023113094094975653,3
FULL_HUBER_Q50,DEVELOPMENT,10302,0.06816229660907265,0.04180164356363667,0.10561175800906819,0.05707348825451312,0.695204814599107,0.10479518540089305,0,0.0,3816,19.5,0.5898876404494382,132,0.018445155806174247,0.06294174508758782,0.5909090909090909,0.0056355907277705975,3
FULL_HUBER_Q50,COMMON_HOLDOUT,2444,0.05791866783666356,0.03740571598544165,0.09091092220158804,0.04543936532296097,0.8273322422258592,0.02733224222585917,0,0.0,125,2.0,0.038461538461538464,41,0.04256657066181399,0.01880111155457363,0.5853658536585366,0.003922357572846773,3
FULL_HUBER_Q50,LATE_BACKTEST,2177,0.058256298882522796,0.03162098790290917,0.09549400105265449,0.047653907692004734,0.7602204869085898,0.03977951309141026,0,0.0,150,3.5,0.25,37,-0.06085928696613387,-0.07337726671142436,0.2972972972972973,-0.021238447056782638,3
SHORT_FIXED_ES_QUANTILE,DEVELOPMENT,10302,0.07126690960684856,0.0428489088862641,0.11065575246535042,0.06029606746893114,0.6830712483013007,0.11692875169869932,26,0.0025237817899437004,3084,4.0,0.29775280898876405,123,-0.024995561631021852,-0.047771386385308694,0.44715447154471544,-0.0012086264352316077,3
SHORT_FIXED_ES_QUANTILE,COMMON_HOLDOUT,2444,0.059895143668504146,0.03865872617891103,0.09501827710311635,0.04600842772348508,0.8211947626841244,0.021194762684124346,0,0.0,5,1.0,0.0,5,-0.1752440527349259,-0.2347609878516216,0.2,-0.025023776902416556,3
SHORT_FIXED_ES_QUANTILE,LATE_BACKTEST,2177,0.05319815194515714,0.028785592121964135,0.08406055324212779,0.04674831047137949,0.8130454754248967,0.013045475424896646,0,0.0,6,3.0,0.0,40,-0.022372725994282583,-0.043717385367593856,0.35,-0.022896716530902743,3
SHORT_HUBER_Q50,DEVELOPMENT,10302,0.07102667298120807,0.0428489088862641,0.10993504258842897,0.06029606746893114,0.6830712483013007,0.11692875169869932,3,0.00029120559114735004,3484,5.0,0.3651685393258427,146,0.0025838123362937376,0.0018871390131086246,0.5,0.0014317531125664447,3
SHORT_HUBER_Q50,COMMON_HOLDOUT,2444,0.0591239304451611,0.03865872617891103,0.09270463743308723,0.04600842772348508,0.8211947626841244,0.021194762684124346,0,0.0,121,3.0,0.019230769230769232,37,-0.013255354194050694,-0.01882663921270519,0.43243243243243246,-0.0048979565339883875,3
SHORT_HUBER_Q50,LATE_BACKTEST,2177,0.05463956465287275,0.028785592121964135,0.08838479136527463,0.04674831047137949,0.8130454754248967,0.013045475424896646,0,0.0,330,10.0,0.55,40,-0.02895607426213087,-0.04030497921293611,0.425,-0.02087036310850011,3
CATBOOST_FIXED_ES_C_BALANCED,DEVELOPMENT,10302,0.06859570414988754,0.04205201030355222,0.10561834405670507,0.058116758089405314,0.6807416035721219,0.11925839642787817,0,0.0,4313,41.5,0.5898876404494382,148,-0.0012190203227680182,0.04014618943452467,0.5608108108108109,0.01293524131740364,3
